
이미지 이름                    PID 세션 이름              세션#  메모리 사용
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1,304 K
Registry                       176 Services                   0     26,404 K
smss.exe                       640 Services                   0        152 K
csrss.exe                      936 Services                   0      2,488 K
wininit.exe                    628 Services                   0      1,084 K
csrss.exe                      748 Console                    1      3,196 K
winlogon.exe                  1092 Console                    1      3,496 K
services.exe                  1128 Services                   0      7,960 K
lsass.exe                     1144 Services                   0     17,344 K
fontdrvhost.exe               1248 Console                    1        552 K
fontdrvhost.exe               1256 Services                   0         12 K
svchost.exe                   1332 Services                   0     23,444 K
WUDFHost.exe                  1388 Services                   0      2,072 K
svchost.exe                   1468 Services                   0     15,528 K
svchost.exe                   1516 Services                   0      4,216 K
dwm.exe                       1616 Console                    1     55,768 K
svchost.exe                   1720 Services                   0      2,336 K
svchost.exe                   1728 Services                   0      7,000 K
svchost.exe                   1764 Services                   0      4,672 K
svchost.exe                   1880 Services                   0      2,336 K
svchost.exe                   1888 Services                   0      5,572 K
svchost.exe                   1900 Services                   0      6,940 K
svchost.exe                   1912 Services                   0      5,884 K
WUDFHost.exe                  2024 Services                   0      5,464 K
svchost.exe                   1204 Services                   0      2,264 K
svchost.exe                   2136 Services                   0      5,280 K
svchost.exe                   2144 Services                   0      3,936 K
IntelCpHDCPSvc.exe            2196 Services                   0      1,392 K
svchost.exe                   2224 Services                   0      3,076 K
svchost.exe                   2256 Services                   0      3,744 K
svchost.exe                   2260 Services                   0      1,740 K
svchost.exe                   2284 Services                   0     10,788 K
svchost.exe                   2348 Services                   0      1,036 K
svchost.exe                   2448 Services                   0      2,520 K
svchost.exe                   2560 Services                   0      7,136 K
svchost.exe                   2596 Services                   0      4,488 K
svchost.exe                   2652 Services                   0     14,164 K
svchost.exe                   2732 Services                   0      1,856 K
NVDisplay.Container.exe       3004 Services                   0      5,852 K
svchost.exe                   3012 Services                   0      2,368 K
svchost.exe                   3064 Services                   0      3,992 K
svchost.exe                   3104 Services                   0     10,648 K
svchost.exe                   3272 Services                   0      4,468 K
svchost.exe                   3280 Services                   0      1,444 K
svchost.exe                   3288 Services                   0      4,588 K
Memory Compression            3400 Services                   0    639,616 K
svchost.exe                   3460 Services                   0      7,936 K
svchost.exe                   3496 Services                   0      5,444 K
svchost.exe                   3556 Services                   0     18,364 K
igfxCUIServiceN.exe           3588 Services                   0      2,180 K
svchost.exe                   3672 Services                   0      2,252 K
svchost.exe                   3680 Services                   0      4,444 K
svchost.exe                   3832 Services                   0      9,592 K
svchost.exe                   3944 Services                   0      2,328 K
svchost.exe                   4000 Services                   0      7,696 K
WmiPrvSE.exe                  4028 Services                   0      8,560 K
svchost.exe                   4064 Services                   0      3,068 K
spoolsv.exe                   4112 Services                   0      4,012 K
svchost.exe                   4180 Services                   0     10,048 K
svchost.exe                   4232 Services                   0      3,016 K
svchost.exe                   4284 Services                   0      4,376 K
svchost.exe                   4432 Services                   0     18,816 K
I3GMainSvc.exe                4456 Services                   0      1,272 K
AnySign4PCLauncher.exe        4576 Services                   0      2,164 K
eausvc.exe                    4600 Services                   0         92 K
SETEVENT.exe                  4656 Services                   0      1,480 K
OfficeClickToRun.exe          4692 Services                   0     12,068 K
ObCrossEXService.exe          4704 Services                   0        532 K
svchost.exe                   4724 Services                   0     36,496 K
svchost.exe                   4736 Services                   0     23,260 K
EvtEng.exe                    4792 Services                   0      1,276 K
ezPDFWSLauncher.exe           4800 Services                   0        812 K
esif_uf.exe                   4808 Services                   0      1,844 K
HncUpdateService.exe          4916 Services                   0      8,716 K
OneApp.IGCC.WinService.ex     4956 Services                   0      5,348 K
ijplmsvc.exe                  4972 Services                   0      2,552 K
IMGSF50Svc.exe                5008 Services                   0        500 K
IniClientSvc_x64.exe          5020 Services                   0      4,636 K
HncUpdateService.exe          5036 Services                   0     12,792 K
IntelAudioService.exe         5072 Services                   0      4,412 K
svchost.exe                   5104 Services                   0      3,000 K
kpmsvc.exe                    5228 Services                   0         12 K
KollusSvr.exe                 5236 Services                   0         96 K
